id,conversation_id,date,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,source,retweet,quote_url,reply_to,reply_to_id,view_count
1658755777853571072,1658755777853571072,2023-05-17 08:46:10+00:00,545270635,nice30332,Aziz Agha,,"Imran's own children are living a luxurious life in London, but on the contrary, the children of the country are being exposed to terrorism، awlessness, and un-Islamic activities,and to please their foreign masters, the country and the nation They are trying to destroy the nation",en,,,,0,0,0,,,,,,,,
1658755757968433154,1658700149437390854,2023-05-17 08:46:05+00:00,1190966754262048768,imran_khan0855,IMRAN {عمران}🇳🇬🌹🇷🇺,,"@AbussyTeste @Meme_Legate @cheesesnacker Like you? ""You"" who?",en,"[User(username='AbussyTeste', id=1589822347154006016, displayname='Dark Perry', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Meme_Legate', id=1606894276708892672, displayname='TheMemeMachine', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='cheesesnacker', id=1458766250469777410, displayname='Dr. fart (PhD)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,,,,https://twitter.com/AbussyTeste,1.658718854472663e+18,
1658755693401497600,1658728696809951232,2023-05-17 08:45:50+00:00,1224563318452449280,ca_imraan,Imran Shaikh ,,@Rajahindustanie @imMAK02 Very good 👍,en,"[User(username='Rajahindustanie', id=819189716096577536, displayname='Raja Hindustani 🇮🇳', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='imMAK02', id=279483060, displayname='Md Asif Khan\u200f\u200e\u200e\u200e\u200e\u200e\u200e', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,,,,https://twitter.com/Rajahindustanie,1.6587421064192614e+18,
1658755674405470208,1658755674405470208,2023-05-17 08:45:45+00:00,185159449,RadioPakistan,Radio Pakistan,,"Prime Minister @CMShehbaz  says the roots of the mutinous attack on the state, its symbols and sensitive installations on May 9 lie in the contents of Imran Niazi's speeches over the past one year
https://t.co/9CBCFnPBnt https://t.co/qwEUFUMyK8",en,"[User(username='CMShehbaz', id=136932734, displayname='Shehbaz Sharif', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","[TextLink(text='radio.gov.pk/17-05-2023/pm-…', url='https://radio.gov.pk/17-05-2023/pm-held-imran-khan-responsible-for-mutinous-attacks-on-sensitive-installations-on-may-9', tcourl='https://t.co/9CBCFnPBnt', indices=(197, 220))]","[Photo(previewUrl='https://pbs.twimg.com/media/FwUVfSdaIAAt0Bb?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FwUVfSdaIAAt0Bb?format=png&name=orig', altText=None)]",0,0,0,,,,,,,,8.0
1658755649680048129,1658755649680048129,2023-05-17 08:45:39+00:00,1232249373976719360,itrpservicespk,ITRP AI Blog 🌟,,"Government's Crackdown on PTI a Threat to Democracy
https://t.co/j2af4NChkV 
#PTI #ImranRiazKhan #FawadChaudhry #MaryamNawaz #Release7000Pakistani #BilawalBhuttoZardari #release_imran_riaz_khan",en,,"[TextLink(text='itrpservices.com/2023/05/govern…', url='https://www.itrpservices.com/2023/05/governments-crackdown-on-pti-threat-to.html', tcourl='https://t.co/j2af4NChkV', indices=(52, 75))]",,0,0,0,"['PTI', 'ImranRiazKhan', 'FawadChaudhry', 'MaryamNawaz', 'Release7000Pakistani', 'BilawalBhuttoZardari', 'release_imran_riaz_khan']",,,,,,,1.0
1658755630424023040,1658478617226252289,2023-05-17 08:45:35+00:00,1587115139765252097,Rajhegde16,Raj hegde,,@MunizaeJahangir U now have a leader in Imran who will send army to barracks if people come out and support him. Else Pakistanis will be slaves of army for life,en,"[User(username='MunizaeJahangir', id=126218409, displayname='Munizae Jahangir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,,,,https://twitter.com/MunizaeJahangir,1.6584786172262523e+18,
1658755575616794624,1658755575616794624,2023-05-17 08:45:22+00:00,58168503,Abdulla_Alamadi,د.عـبدالله العـمـادي,,"Imran Khan calls for breaking the idol of fear created by those who want Pakistan to remain submissive to a small group benefiting from the country's bounties, with the support of outsiders, who benefit from the continuation of the situation as it is in this country.. https://t.co/PZjcfUGwfM",en,,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1658755479340761090/pu/img/laLRmlPyMLcrcxiJ.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1658755479340761090/pu/vid/456x270/OJpRNJQWVU0TLSsQ.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1658755479340761090/pu/vid/624x368/8ZDoDSRgRVTmw3ej.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1658755479340761090/pu/pl/i-8wBRqNH4sveKPr.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=129.641, views=0, altText=None)]",0,3,5,,,,,,,,8.0
1658755557291876354,1658716391816478720,2023-05-17 08:45:17+00:00,1061951868337823744,AkukiIlyas,FOODIE🍲🍱💫💫,,"@Imranmuhdz @woye1 Hilda cooked for 100hrs, Imran is cooking since February. 😂",en,"[User(username='Imranmuhdz', id=1518252654346051587, displayname='Imran Muhammad', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='woye1', id=241941306, displayname='Woye', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,,,,https://twitter.com/Imranmuhdz,1.6587163918164787e+18,
1658755551331745792,1658714730310127617,2023-05-17 08:45:16+00:00,1529340477392273410,testema29884984,PakistanKeLeye,,@Hamzakk @ZulkarnainMahar Imran Khan has also confirmed in his latest tweet that torture did happen on Imran riaz,en,"[User(username='Hamzakk', id=87801768, displayname='Hamza', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ZulkarnainMahar', id=1244969933911572480, displayname='Zulkarnain Mahar', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,,,,https://twitter.com/Hamzakk,1.6587147303101276e+18,1.0
1658755540556603393,1658743437036756993,2023-05-17 08:45:13+00:00,1198106522917785600,abokioflagos,Grim Reaper,,@LordPagliarello @imran_jubril @MrBlackOG 5.3 inches https://t.co/0ZB8GVaZB6,en,"[User(username='LordPagliarello', id=1496563768410710020, displayname='Lord Pagliarello', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='imran_jubril', id=1493708926944223234, displayname='imran jubril', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MrBlackOG', id=1293130256505884672, displayname='Mr Black⁛', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"[Photo(previewUrl='https://pbs.twimg.com/media/FwUVXQnWcAEhVAG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FwUVXQnWcAEhVAG?format=jpg&name=orig', altText=None)]",0,0,0,,,,,,https://twitter.com/LordPagliarello,1.6587502370311373e+18,5.0
